Created on 08-12-2020,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume LTC,Volume BTC
2018-07-15,LTCBTC,0.01219,0.01244,0.01206,0.01235,133732.67,1636.3
2018-07-14,LTCBTC,0.0123,0.01235,0.01215,0.01219,127399.05,1557.41
2018-07-13,LTCBTC,0.01232,0.01247,0.01219,0.0123,137311.16,1695.78
2018-07-12,LTCBTC,0.01226,0.01239,0.01199,0.01232,133529.02,1633.15
2018-07-11,LTCBTC,0.01204,0.01265,0.01192,0.01226,153221.2,1868.5
2018-07-10,LTCBTC,0.01208,0.01249,0.01166,0.01204,162268.23,1931.64
2018-07-09,LTCBTC,0.01226,0.01232,0.01204,0.01208,138126.36,1684.08
2018-07-08,LTCBTC,0.01255,0.01264,0.01222,0.01226,131963.99,1645.85
2018-07-07,LTCBTC,0.01259,0.01263,0.01218,0.01255,142152.1,1763.81
2018-07-06,LTCBTC,0.01275,0.01288,0.01248,0.01259,138577.4,1752.8
2018-07-05,LTCBTC,0.01296,0.01306,0.01262,0.01275,144709.55,1852.34
2018-07-04,LTCBTC,0.01303,0.0133,0.01291,0.01296,103880.56,1354.57
2018-07-03,LTCBTC,0.01291,0.01352,0.01285,0.01303,173136.86,2277.9
2018-07-02,LTCBTC,0.01256,0.01305,0.01243,0.01291,156032.68,1984.61
2018-07-01,LTCBTC,0.01272,0.01273,0.01234,0.01256,135764.01,1703.47
2018-06-30,LTCBTC,0.01273,0.01308,0.01252,0.01272,136628.72,1745.95
2018-06-29,LTCBTC,0.01268,0.0129,0.0124,0.01273,136409.8,1716.57
2018-06-28,LTCBTC,0.01314,0.01325,0.0126,0.01268,137521.1,1780.54
2018-06-27,LTCBTC,0.01247,0.01323,0.01242,0.01314,127786.94,1638.97
2018-06-26,LTCBTC,0.01305,0.01313,0.01235,0.01247,86352.65,1107.03
2018-06-25,LTCBTC,0.01309,0.0134,0.01284,0.01305,147117.98,1926.19
2018-06-24,LTCBTC,0.01343,0.0135,0.01267,0.01309,172174.38,2258.95
2018-06-23,LTCBTC,0.01403,0.01411,0.01338,0.01343,155435.0,2118.46
2018-06-22,LTCBTC,0.0144,0.01443,0.01352,0.01403,181919.74,2536.39
2018-06-21,LTCBTC,0.01446,0.01461,0.0143,0.0144,137222.67,1978.64
2018-06-20,LTCBTC,0.01463,0.01475,0.01443,0.01446,122903.79,1785.22
2018-06-19,LTCBTC,0.01472,0.01504,0.01452,0.01463,125600.61,1838.29
2018-06-18,LTCBTC,0.01472,0.01486,0.01449,0.01472,141059.09,2067.38
2018-06-17,LTCBTC,0.01488,0.01498,0.01468,0.01472,127503.66,1888.54
2018-06-16,LTCBTC,0.01495,0.015,0.01465,0.01488,137377.38,2037.72
2018-06-15,LTCBTC,0.01518,0.01519,0.01475,0.01495,127607.04,1909.96
